125Hz,250Hz,500Hz
95.25520302892828,92.52559239734711,89.98521536385667
95.25520303218607,92.52559239734711,89.98521536385667
95.25520303544168,92.52559239734714,89.98521536385667
95.25520303869507,92.52559239734714,89.98521536385667
95.2545932501689,92.52444907338925,89.98316300898695
95.25414952952357,92.52361702870586,89.98166915432986
95.25284217268094,92.52116511208723,89.97726565381953
95.25174227176406,92.5191018126789,89.97355870994936
95.24977244902095,92.5154055150626,89.96691448816134
95.24799931415475,92.5120772085428,89.96092854980789
95.24545017625545,92.50729032179007,89.95231341110802
95.24306860491384,92.50281624876379,89.94425586337341
95.24003331023775,92.49711125614824,89.93397303129674
95.23713450603711,92.49166014909859,89.92414009440182
95.23370072763964,92.48519945449067,89.91247534264863
95.2303768648126,92.47894213523706,89.90116780113135
95.22662177566482,92.47186879553426,89.88837317504846
95.22295585461363,92.46495928364271,89.87586282276874
95.21894512198864,92.45739516510177,89.86215343192306
95.21500796550768,92.44996507113356,89.84867307165462
95.21079632636418,92.44201191645988,89.83422896695075
95.2066466299286,92.43417050557389,89.81997243434755
95.2022790446371,92.42591205753429,89.80494231006014
95.19796460067617,92.41774848952923,89.79006833752683
95.19347756418261,92.40925289794568,89.77457371149993
95.18903682187664,92.40083908956088,89.75921089105296
95.18445965033325,92.39216127019947,89.74335019261125
95.17992325642211,92.38355472433224,89.72760188644743
95.17527926957084,92.37473852569207,89.71145420754533
95.17067145520615,92.36598487877805,89.69540297117496
95.1659790232925,92.35706500091835,89.67903138758797
95.16131879876616,92.34820021838578,89.6627427835732
95.15659224739585,92.33920387236843,89.64619722829623
95.15189440744258,92.33025609719664,89.62972303955019
95.14714478643202,92.32120441639626,89.61304274864341
95.142420744469,92.31219550445418,89.59642364978869
95.13765647281679,92.30310472984786,89.57963921898936
95.13291494699925,92.29405151386797,89.56290697822196
95.12814234847555,92.28493397963408,89.54604207557477
95.12338992221181,92.27584930318727,89.52922135847601
95.1186136663661,92.2667142494676,89.51229413900802
95.11385524384832,92.25760780846261,89.49540397902872
95.10907870644509,92.2484620467136,89.47842824501812
95.10431788110765,92.23934107111097,89.4614832369944
95.09954343669025,92.23018952511238,89.44446938336256
95.09478278786659,92.22105932872928,89.42748064812848
95.09001204564981,92.21190547162011,89.41043642789928
95.08525337628254,92.2027698935097,89.39341238850977
95.08048736907027,92.19361609851164,89.3763435286754
95.07573189521236,92.18447785554758,89.35929053213941
95.07097122962301,92.17532567548547,89.34220122593153
95.06621973064951,92.16618664248011,89.32512403868245
95.06146470565375,92.15703703089788,89.3080173363085
95.05671764256448,92.14789846178034,89.29091953682712
95.0519683422111,92.13875194640804,89.27379765324059
95.04722595011124,92.12961464763302,89.25668194119304
95.04248231533934,92.1204714651837,89.23954649642525
95.03774467510215,92.111335930569,89.22241493428038
95.03300655869867,92.10219613031978,89.205267139243
95.02827365191433,92.09306264486459,89.18812133949551
95.02354085996457,92.08392616717838,89.17096213793181
95.01881261053023,92.07479488604687,89.15380340669289
95.01408493310926,92.06566162089612,89.13663358206746
95.00936123819677,92.05653262861546,89.11946302782106
95.00463847154747,92.04740245825091,89.1022832823511
94.9999192241725,92.03827581223479,89.08510189704688
94.99520118619807,92.02914864137489,89.0679129087517
94.99048629119379,92.02002440310851,89.05072162706139
94.98577283174558,92.01090017938918,89.0335240896035
94.98106221659702,92.00177843597466,89.01632383105904
94.97635322375204,91.99265716287208,88.99911848023709
94.97164684546348,91.9835380411092,88.98191017805814
94.96694224875121,91.97441978511499,88.96469780805838
94.96224009768595,91.96530345986383,88.94748242772971
94.9575398690304,91.9561883533359,88.93026389962395
94.95284197047343,91.94707505155739,88.91304244967262
94.94814612345932,91.93796329237898,88.89581869414486
94.94345253749843,91.92885329396356,88.87859223106842
94.93876112544191,91.91974514290592,88.86136424693895
94.9340719456376,91.9106387791694,88.84413387583143
94.92938505883791,91.90153455566082,88.82690272561236
94.92470041005154,91.89243220619757,88.80966959770586
94.9200181725164,91.88333228304644,88.79243640115078
94.91533820818334,91.87423437147869,88.77520170922524
94.91066077405276,91.86513916897248,88.7579676356168
94.90598567312244,91.85604615801239,88.74073260801649
94.90131322296182,91.84695613771353,88.72349886776051
94.89664318667307,91.83786852385632,88.70626476158422
94.89197592376316,91.8287841823367,88.68903259753891
94.88731117238167,91.81970249042476,88.67180069143366
94.88264931909866,91.81062435311563,88.65457137029038
94.87799008870978,91.80154913095173,88.63734295716924
94.87333388306168,91.79247774623599,88.62011776111436
94.8686804224856,91.78340955937394,88.6028941410325
94.86403011485007,91.77434549300807,88.58567435984968
94.85938268272525,91.76528491981081,88.56845683320489
94.8547385328174,91.75622874973315,88.55124375692412
94.85009739488282,91.74717637675782,88.53403361809491
94.84545966896896,91.73812868831597,88.51682853025252
94.84082509556244,91.72908510606236,88.49962706174546
94.83619406392606,91.72004648767428,88.48243123328807
94.83156632770708,91.71101228671512,88.46523970043513
94.82694226236629,91.70198332596557,88.44805438427615
94.82232163626432,91.69295909346374,88.43087403049796
94.81770480893451,91.6839403736269,88.41370045671829
94.81309156431875,91.6749266902343,88.39653249935239
94.80848224461077,91.66591878720703,88.37937187102354
94.80387664967321,91.65691622433332,88.36221749770301
94.79927510351452,91.64791970395811,88.34507098730278
94.79467742185584,91.63892882139174,88.32793135286175
94.79008391012074,91.62994423714548,88.31080009924614
94.78549439952695,91.62096558100659,88.29367632312257
94.78090917686075,91.61199347202918,88.27656142901458
94.77632808825705,91.60302757303168,88.25945459311639
94.77175140207916,91.59406846246823,88.2423571230704
94.76717897864742,91.58511583446727,88.22526827006946
94.76261106831788,91.57617022809674,88.20818924886956
94.758047544764,91.56723136689791,88.19111938088666
94.75348864089867,91.55829975202224,88.17405979233794
94.74893424285611,91.54937513442849,88.15700986998235
94.74438456677595,91.54045797899693,88.1399706560555
94.73983951033253,91.53154806207056,88.12294159778374
94.73529927363357,91.52264581401504,88.10592365807494
94.73076376496878,91.51375103453248,88.08891633983455
94.72623316919984,91.50486412129125,88.07192053130498
94.72170740432108,91.49598489537024,88.05493578643093
94.71718664075692,91.48711372357857,88.03796292339254
94.71267080532343,91.47825044645785,88.0210015427262
94.7081600548227,91.4693954017862,88.00405239704263
94.70365432404692,91.46054844773982,87.98711512924476
94.69915375698433,91.45170989486095,87.97019043071916
94.69465829560141,91.44287961723052,87.95327798275132
94.69016807186458,91.43405789989927,87.93637841967451
94.68568303416103,91.42524463122857,87.91949145742477
94.68120330320383,91.41644007245888,87.90261767726045
94.6767288330976,91.40764412471698,87.88575682629175
94.67225973404189,91.39885702704235,87.86890943647713
94.6677959652066,91.39007869192243,87.85207528287862
94.66333762698528,91.38130933772749,87.83525485172089
94.65888468301209,91.3725488870098,87.81844794304439
94.65443722454745,91.36379753892155,87.80165500069607
94.64999521913853,91.35505522489035,87.784875846962
94.64555874954985,91.34632212621923,87.76811088645927
94.64112778673844,91.337598182124,87.75135996121728
94.63670240557398,91.32888355734576,87.73462343956783
94.63228257996613,91.32017819789868,87.71790118100009
94.62786837745489,91.31148225316875,87.70119352030801
94.62345977448875,91.30279567507104,87.68450033236347
94.61905683180787,91.29411859876485,87.66782192098074
94.61465952802682,91.28545098125525,87.65115817453078
94.61026791758145,91.27679294452781,87.63450936822566
94.60588198091767,91.26814444994744,87.61787540223227
94.60150176662975,91.25950560730686,87.60125652536667
94.59712725669553,91.2508763816757,87.58465264805588
94.59275849429885,91.24225687156573,87.56806399476419
94.58839546268294,91.23364704516564,87.55149048479791
94.58403820002235,91.22504699055332,87.53493232016153
94.57968669058917,91.2164566785145,87.5183894278024
94.57534096792153,91.20787618747872,87.50186198901453
94.5710010171114,91.19930549036555,87.48534993727893
94.56666686740655,91.19074465668417,87.46885343479502
94.56233850453512,91.18219366107803,87.45237242058998
94.55801595377558,91.1736525648101,87.43590703926026
94.55369920133117,91.16512134388651,87.41945723450115
94.54938826880878,91.15660005194778,87.40302313468203
94.54508314274655,91.1480886660458,87.38660468738775
94.54078384135542,91.13958723277541,87.3702020060294
94.5364903513869,91.13109572995748,87.35381504139323
94.53220268791131,91.12261419767447,87.33744389310132
94.52792083778895,91.11414261427534,87.3210885145351
94.52364481318581,91.10568101382306,87.30474899260507
94.51937460098144,91.09722937498663,87.28842528275553
94.51511021065629,91.0887877262648,87.2721174601779
94.51085162903323,91.0803560464676,87.25582548191386
94.50659886310956,91.07193435895039,87.23954941234985
94.50235189958764,91.0635226425115,87.22328920971948
94.49811074316895,91.05512091575143,87.20704492844617
94.49387538038232,91.0467291573276,87.19081652760389
94.4896458138067,91.03834738144472,87.17460405242844
94.48542202975392,91.02997556651074,87.15840746253099
94.48120402884085,91.02161372266643,87.14222679467385
94.47699179712734,91.01326182798032,87.12606200874538
94.47278533341658,91.00491988883587,87.1099131336924
94.46858462348901,90.9965878828886,87.09378012945893
94.46438966447161,90.98826581304819,87.07766301778253
94.46020044184442,90.97995365649811,87.06156175847569
94.45601695118552,90.9716514129363,87.04547636662531
94.45183917765932,90.96335905902802,87.02940680175567
94.44766711541304,90.95507659150178,87.0133530728181
94.44350074928528,90.94680398646965,86.99731513891898
94.43934007210157,90.93854123791509,86.98129300334887
94.43518506836894,90.93028832137172,86.96528662469042
94.43103572969264,90.92204522828561,86.94929600101163
94.426892040246,90.9138119335953,86.93332109028653
94.42275399050794,90.9055884264017,86.9173618857649
94.41862156431932,90.89737468103908,86.90141834474586
94.41449475111996,90.88917068444147,86.88549045603425
94.4103735344221,90.88097641033592,86.86957817620413
94.40625790270745,90.87279184365472,86.85368148996027
94.40214783916596,90.86461695752057,86.83780035311565
94.39804333139642,90.85645173501712,86.82193474659366
94.39394436227468,90.84829614867004,86.80608462542254
94.38985091858649,90.84015017985664,86.79024996703895
94.38576298290354,90.83201380051683,86.7744307256734
94.38168054126345,90.82388699045359,86.7586268755484
94.37760357594493,90.81576972103585,86.7428383700929
94.37353207229803,90.80766197061484,86.7270651805677
94.36946601232073,90.79956371000605,86.71130725960413
94.36540538073172,90.79147491622292,86.69556457573509
94.3613501592614,90.78339555954724,86.67983708080502
94.35730033204949,90.77532561576078,86.66412474083556
94.35325588057273,90.7672650546332,86.64842750690067
94.34921678844057,90.75921385081328,86.63274534271164
94.34518303689032,90.75117197358159,86.61707819859319
94.34115460904678,90.74313939654584,86.60142603613261
94.33713148592238,90.7351160885217,86.58578880493053
94.33311365019972,90.72710202216143,86.57016646462331
94.32910108268116,90.71909716584075,86.55455896411588
94.3250937656467,90.71110149133631,86.5389662612545
94.32109167970354,90.70311496660946,86.52338830427935
94.31709480676601,90.69513756263564,86.50782504939599
94.31310312726104,90.68716924698776,86.49227644421299
94.30911662277182,90.67920998990958,86.4767424434342
94.30513527355981,90.67125975861151,86.46122299407122
94.30115906090926,90.66331852267056,86.44571804945555
94.29718796493084,90.65538624896062,86.43022755603754
94.29322196664002,90.64746290645259,86.4147514658969
94.28926104601098,90.63954846170967,86.39928972495926
94.28530518381868,90.63164288315332,86.38384228416477
94.28135435991494,90.62374613706163,86.36840908895141
94.2774085548605,90.61585819135954,86.35299008922438
94.27346774839867,90.6079790120652,86.3375852299712
94.26953192090065,90.60010856665663,86.3221944601597
94.26560105201462,90.59224682091674,86.30681772436421
94.26167512194542,90.58439374192304,86.29145497070624
94.25775411025917,90.57654929524729,86.2761061433838
94.25383799701589,90.5687134476099,86.26077118975712
94.24992676171232,90.56088616439507,86.24545005368445
94.24602038428398,90.55306741200681,86.23014268184409
94.24211884417046,90.54525715566467,86.2148490177905
94.23822212120169,90.53745536149435,86.19956900759435
94.23433019477196,90.52966199457293,86.18430259454149
94.2304430446234,90.52187702078358,86.16904972416432
94.22656065011644,90.51410040508239,86.15381033951458
94.22268299092198,90.50633211314346,86.1385843856513
94.21881004637748,90.4985721098227,86.12337180542575
94.21494179609836,90.49082036061657,86.1081725434842
94.21107821940956,90.48307683030082,86.09298654251022
94.20721929588558,90.47534148422363,86.07781374679416
94.203365004849,90.46761428709992,86.06265409888346
94.1995153258471,90.45989520415729,86.04750754276574
94.19567023820969,90.45218420006833,86.03237402088308
94.19182972146963,90.44448123996588,86.01725347697013
94.18799375497326,90.43678628849804,86.00214585339319
94.18416231825104,90.42909931072728,85.98705109368063
94.18033539067453,90.42142027129412,85.9719691401515
94.17651295178317,90.41374913521346,85.95689993617155
94.1726949809821,90.40608586713469,85.94184342404007
94.16888145783021,90.39843043204644,85.92679954700111
94.16507236177429,90.39078279462247,85.91176824736065
94.1612676724025,90.38314291984533,85.8967494682793
94.15746736921082,90.37551077242797,85.88174315209507
94.15367143182604,90.36788631736569,85.86674924192111
94.14987983980046,90.36026951942482,85.85176768015162
94.14609257280814,90.35266034363099,85.836798409886
94.14230961046455,90.3450587548175,85.82184137359783
94.13853093249907,90.33746471805682,85.80689651440423
94.13475651859683,90.32987819826198,85.79196377488039
94.13098634855011,90.32229916056792,85.77704309819063
94.12722040211978,90.31472756997954,85.7621344270329
94.12345865916814,90.30716339170873,85.74723770464644
94.1197010995375,90.2996065908639,85.73235287387197
94.11594770316675,90.2920571327475,85.7174798780496
94.11219844998514,90.28451498258237,85.702618660182
94.1084533200144,90.2769801057743,85.68776916373439
94.10471229327575,90.26945246767086,85.67293133188954
94.10097534987942,90.2619320337932,85.65810510826053
94.09724246994351,90.25441876962341,85.64329043622747
94.09351363367216,90.24691264080914,85.62848725957254
94.08978882128478,90.23941361297625,85.61369552188953
94.08606801308444,90.23192165190929,85.59891516714963
94.08235118939609,90.22443672338667,85.58414613917577
94.07863833062636,90.21695879333961,85.56938838214668
94.07492941720974,90.20948782770724,85.55464184012911
94.07122442966072,90.20202379257655,85.53990645752666
94.067523348527,90.19456665405512,85.5251821786637
94.06382615443498,90.18711637839424,85.51046894818495
94.06013282804898,90.1796729318771,85.49576671068534
94.05644335011098,90.17223628092731,85.48107541106589
94.05275770140526,90.16480639201046,85.46639499420434
94.04907586279273,90.15738323172974,85.45172540527207
94.04539781518056,90.14996676673957,85.43706658944112
94.0417235395519,90.14255696382958,85.42241849216646
94.03805301693949,90.13515378984897,85.40778105892515
94.03438622845157,90.12775721178019,85.39315423546796
94.03072315524909,90.12036719667273,85.37853796758718
94.02706377856809,90.11298371170776,85.36393220134065
94.02340807970005,90.10560672414019,85.34933688284534
94.01975604001122,90.09823620135543,85.33475195847679
94.01610764092581,90.09087211081862,85.32017737468547
94.01246286394262,90.08351442012442,85.3056130781743
94.0088216906205,90.07616309695264,85.29105901573557
94.00518410259275,90.06881810911187,85.27651513440867
94.0015500815548,90.06147942450069,85.26198138133522
93.99791960927635,90.05414701114589,85.24745770389954
93.99429266759093,90.04682083716865,85.23294404959968
93.99066923840638,90.03950087081789,85.21844036617254
93.98704930369587,90.03218708044082,85.20394660147922
93.9834328455068,90.02487943451213,85.1894627036163
93.97981984595334,90.01757790160829,85.1749886208139
93.9762102872239,90.01028245043298,85.1605243015349
93.97260415157476,90.00299304979485,85.14606969438398
93.96900142133653,89.99570966862963,85.1316247481962
93.96540207890868,89.98843227598074,85.11718941195605
93.96180610676512,89.98116084101866,85.10276363487611
93.95821348744948,89.97389533302402,85.08834736632534
93.95462420357978,89.96663572140442,85.07394055589884
93.95103823784464,89.95938197567988,85.05954315335424
93.94745557300708,89.95213406549738,85.04515510867367
93.94387619190132,89.94489196061818,85.03077637200721
93.94030007743608,89.93765563093052,85.01640689372812
93.93672721259182,89.93042504643876,85.00204662438236
93.93315758042347,89.9232001772741,84.98769551473788
